No.,物件番号,物件種目,専有面積,所在地
取引態様,価格,用途地域,㎡単価,建物名,所在階,間取
,"7,400円",,74.4万円,京浜急行線　杉田,徒歩　13分
令和 5年 3月24日
,1973年（昭和48年） 3月,
15,100123105167,中古マンション,55.55㎡,神奈川県横浜市磯子区杉田４丁目
専任,"1,880万円",一住,33.9万円,杉田パーク・ホームズ,2階,2ＬＤＫ
,"12,800円",,111.9万円,京浜急行線　杉田,徒歩　6分
令和 5年 3月20日
,1994年（平成 6年）12月,
16,100119620828,中古マンション,68.28㎡,神奈川県横浜市磯子区杉田６丁目
専属,"2,580万円",一低,37.8万円,サンクタス横浜南の丘,3階,2ＬＤＫ
,"9,200円",,125.0万円,京浜急行線　杉田,徒歩　11分
令和 5年 3月10日
,2001年（平成13年）12月,
17,100121947910,中古マンション,75.95㎡,神奈川県横浜市磯子区杉田１丁目
専任,"5,490万円",商業,72.3万円,ヨコハマ・シーナリータワー,26階,3ＬＤＫ
,"16,000円",,239.0万円,京浜東北線　新杉田,徒歩　2分
令和 5年 2月 5日
,2004年（平成16年） 9月,
18,100122540804,中古マンション,56.91㎡,神奈川県横浜市磯子区杉田７丁目
売主,"1,498万円",二中,26.4万円,杉田大谷団地１２号棟,3階,2ＬＤＫ
,"7,400円",,87.1万円,京浜急行線　杉田,徒歩　15分
令和 5年 1月29日
,1973年（昭和48年） 3月,
19,100121026120,中古マンション,52.96㎡,神奈川県横浜市磯子区杉田２丁目
専属,980万円,近商,18.6万円,レクハイム杉田,4階,3ＬＤＫ
,"14,640円",,61.2万円,京浜急行線　杉田,徒歩　5分
令和 4年10月 9日
,1982年（昭和57年） 7月,
20,100120377619,中古マンション,54.35㎡,神奈川県横浜市磯子区杉田５丁目
専任,"1,490万円",一住,27.5万円,ダイアパレス杉田第３,1階,2ＳＬＤＫ
,"16,920円",,90.7万円,京浜急行線　杉田,徒歩　9分
令和 4年 9月19日
,1991年（平成 3年） 2月,
21,100120005694,中古マンション,85.01㎡,神奈川県横浜市磯子区杉田坪呑
専属,"1,800万円",一住,21.2万円,杉田坪呑団地,3階,3ＬＤＫ
,"6,700円",,70.0万円,京浜急行線　杉田,徒歩　14分
令和 4年 9月11日
,1990年（平成 2年） 8月,
22,100118876151,中古マンション,54.68㎡,神奈川県横浜市磯子区杉田７丁目
専任,800万円,-,14.7万円,杉田大谷団地５号棟,5階,3ＤＫ
,"7,400円",,48.4万円,京浜急行線　杉田,徒歩　15分
令和 4年 9月 4日
,1973年（昭和48年） 3月,
23,100120500553,中古マンション,54.68㎡,神奈川県横浜市磯子区杉田７丁目
専任,"1,300万円",一中,23.8万円,杉田大谷団地,2階,2ＬＤＫ
,"7,400円",,78.6万円,京浜急行線　杉田,徒歩　16分
令和 4年 9月 1日
,1973年（昭和48年） 3月,
24,100120183826,中古マンション,81.17㎡,神奈川県横浜市磯子区杉田１丁目
一般,"6,180万円",商業,76.2万円,ヨコハマ・シーナリータワー,23階,2ＬＤＫ
,"17,100円",,251.7万円,京浜東北線　新杉田,徒歩　1分
令和 4年 8月 2日
,2004年（平成16年） 9月,
25,100120010949,中古マンション,57.77㎡,神奈川県横浜市磯子区杉田８丁目
専属,"1,960万円",一低,34.0万円,ナイスアーバン磯子杉田台,1階,3ＬＤＫ
,"12,820円",,112.2万円,京浜急行線　杉田,徒歩　18分
令和 4年 7月18日
,1995年（平成 7年）11月,
26,100119219596,中古マンション,75.07㎡,神奈川県横浜市磯子区杉田１丁目
専任,"5,380万円",商業,71.7万円,ヨコハマ・シーナリータワー,21階,3ＬＤＫ
,"15,800円",,237.0万円,京浜東北線　新杉田,徒歩　1分
令和 4年 6月25日
,2004年（平成16年） 9月,
27,100119063251,中古マンション,56.91㎡,神奈川県横浜市磯子区杉田７丁目
専任,999万円,一中,17.6万円,杉田大谷団地,5階,2ＬＤＫ
,"7,400円",,58.1万円,京浜急行線　杉田,徒歩　15分
令和 4年 4月22日
,1973年（昭和48年） 3月,
28,100117886502,中古マンション,54.68㎡,神奈川県横浜市磯子区杉田７丁目
売主,"1,480万円",-,27.1万円,杉田大谷団地,2階,2ＤＫ
,"7,400円",,89.5万円,京浜急行線　杉田,徒歩　19分
令和 4年 4月11日
,1973年（昭和48年） 3月,
29,100113832179,中古マンション,56.91㎡,神奈川県横浜市磯子区杉田７丁目
専属,980万円,二中,17.3万円,杉田大谷団地　１３号棟,1階,1ＬＤＫ
,"7,400円",,57.0万円,京浜急行線　杉田,徒歩　17分
令和 4年 3月22日
,1973年（昭和48年） 3月,
30,100118486627,中古マンション,54.68㎡,神奈川県横浜市磯子区杉田７丁目
専属,505万円,二中,9.3万円,杉田大谷団地,5階,3ＤＫ
,"7,400円",,30.6万円,京浜急行線　杉田,徒歩　16分
令和 4年 3月20日
,1973年（昭和48年） 3月,
31,100117943822,中古マンション,54.68㎡,神奈川県横浜市磯子区杉田７丁目
専属,900万円,-,16.5万円,杉田大谷団地,2階,3ＤＫ
,"7,400円",,54.5万円,京浜急行線　杉田,徒歩　15分
令和 4年 2月17日
,1973年（昭和48年）,
32,100116985715,中古マンション,77.41㎡,神奈川県横浜市磯子区杉田１丁目
専任,"3,650万円",近商,47.2万円,プララ杉田,5階,3ＬＤＫ
,"21,840円",,155.9万円,京浜急行線　杉田,徒歩　1分
令和 4年 3月 6日
,1993年（平成 5年） 4月,
33,100117956816,中古マンション,66.86㎡,神奈川県横浜市磯子区杉田２丁目
専任,"3,310万円",二中,49.6万円,エクレール杉田,4階,2ＬＤＫ
,"15,300円",,163.7万円,京浜急行線　杉田,徒歩　1分
令和 4年 2月 2日
,1997年（平成 9年）,
34,100117996225,中古マンション,78.80㎡,神奈川県横浜市磯子区杉田６丁目
専属,"2,600万円",一低,33.0万円,サンクタス横浜南の丘,6階,3ＬＤＫ
,"10,000円",,109.1万円,京浜急行線　杉田,徒歩　11分
令和 4年 2月12日
,2001年（平成13年）12月,
35,100117326327,中古マンション,72.50㎡,神奈川県横浜市磯子区杉田６丁目
専属,"2,880万円",一低,39.8万円,サンクタス横浜南の丘,3階,3ＬＤＫ
,"9,200円",,131.4万円,京浜急行線　杉田,徒歩　11分
令和 4年 2月 5日
,2001年（平成13年）12月,
36,100117423028,中古マンション,41.25㎡,神奈川県横浜市磯子区杉田５丁目
専属,"1,200万円",一住,29.1万円,サンピア杉田,2階,2Ｋ
,"10,500円",,96.2万円,京浜急行線　杉田,徒歩　9分
令和 4年 1月29日
,1990年（平成 2年） 2月,
37,100117611829,中古マンション,81.72㎡,神奈川県横浜市磯子区杉田２丁目
専任,"2,200万円",一低,27.0万円,ユーロハイツ杉田,4階,3ＬＤＫ
,"16,700円",,89.0万円,京浜急行線　杉田,徒歩　7分
令和 4年 1月15日
,1988年（昭和63年） 6月,
38,100116618115,中古マンション,14.73㎡,神奈川県横浜市磯子区杉田３丁目
"売主
オーナーチェンジ",470万円,-,32.0万円,鈴木ビルヴァンハウス杉田,5階,ワンルーム
,"5,460円",,105.5万円,京浜急行線　杉田,徒歩　4分
令和 3年12月23日
,1988年（昭和63年） 9月,
39,100112847109,中古マンション,64.14㎡,神奈川県横浜市磯子区杉田６丁目
専任,"1,730万円",-,27.0万円,中銀杉田マンシオン,4階,3ＬＤＫ
,"9,700円",,89.2万円,京浜急行線　杉田,徒歩　10分
令和 3年11月29日
,1987年（昭和62年） 2月,
40,100116463881,中古マンション,63.93㎡,神奈川県横浜市磯子区杉田４丁目
一般,"2,580万円",一住,40.4万円,杉田パーク・ホームズ,2階,2ＳＬＤＫ
,"14,700円",,133.5万円,京浜急行線　杉田,徒歩　5分
令和 3年12月 5日
,1994年（平成 6年）12月,
41,100114178579,中古マンション,87.84㎡,神奈川県横浜市磯子区杉田５丁目
専属,"3,580万円",一住,40.8万円,日神パレステージ光陽台,5階,3ＳＬＤＫ
,"16,300円",,134.8万円,京浜急行線　杉田,徒歩　6分
令和 3年11月 6日
,1998年（平成10年） 3月,
42,100115205362,中古マンション,81.54㎡,神奈川県横浜市磯子区杉田坪呑
専任,"2,200万円",準住,27.0万円,磯子杉田台３－３号棟,4階,3ＬＤＫ
,"7,200円",,89.2万円,京浜急行線　杉田,徒歩　12分
令和 3年10月17日
,1989年（平成 1年） 8月,
43,100115078953,中古マンション,76.13㎡,神奈川県横浜市磯子区杉田１丁目
専任,"5,050万円",商業,66.4万円,ヨコハマ・シーナリータワー,18階,2ＳＬＤＫ
,"16,000円",,219.3万円,根岸線　新杉田,徒歩　1分
令和 3年 9月30日
,2004年（平成16年） 9月,
44,100110247235,中古マンション,54.68㎡,神奈川県横浜市磯子区杉田７丁目
専任,680万円,-,12.5万円,杉田大谷団地,,2ＬＤＫ
,-,,41.2万円,,
令和 3年 9月 5日
,,
45,100113688658,中古マンション,63.07㎡,神奈川県横浜市磯子区杉田４丁目
売主,"3,980万円",近商,63.2万円,クリオ新杉田,4階,3ＬＤＫ
,"17,340円",,208.7万円,京浜東北線　新杉田,徒歩　7分
令和 3年 8月28日
,2015年（平成27年） 3月,
46,100113715982,中古マンション,63.93㎡,神奈川県横浜市磯子区杉田４丁目
専任,"2,980万円",一住,46.7万円,杉田パーク・ホームズ,5階,2ＳＬＤＫ
,"14,700円",,154.1万円,京浜急行線　杉田,徒歩　5分
令和 3年 8月 7日
,1994年（平成 6年）12月,
47,100112850885,中古マンション,75.95㎡,神奈川県横浜市磯子区杉田１丁目
専属,"5,280万円",商業,69.6万円,ヨコハマ・シーナリータワー,14階,3ＬＤＫ
,"16,000円",,229.9万円,京浜東北線　新杉田,徒歩　1分
令和 3年 7月25日
,2004年（平成16年） 9月,
48,100109591534,中古マンション,56.91㎡,神奈川県横浜市磯子区杉田７丁目
専任,800万円,-,14.1万円,杉田大谷団地,,2ＬＤＫ
,-,,46.5万円,,
令和 3年 7月23日
,,
49,100109500520,中古マンション,82.80㎡,神奈川県横浜市磯子区杉田坪呑
専属,"1,450万円",一低,17.6万円,磯子杉田台第１団地,5階,3ＬＤＫ
,"7,200円",,57.9万円,京浜急行線　杉田,徒歩　12分
令和 3年 6月 7日
,1989年（平成 1年） 8月,
50,100111436494,中古マンション,62.29㎡,神奈川県横浜市磯子区杉田５丁目
一般,"1,900万円",準住,30.6万円,ダイアパレス杉田第２,1階,2ＬＤＫ
,"10,650円",,100.9万円,京浜急行線　杉田,徒歩　7分
令和 3年 5月23日
,1987年（昭和62年） 5月,
51,100111196553,中古マンション,63.07㎡,神奈川県横浜市磯子区杉田４丁目
専任,"3,100万円",近商,49.2万円,クリオ新杉田,4階,3ＬＤＫ
,"17,340円",,162.5万円,京浜東北線　新杉田,徒歩　7分
令和 3年 5月21日
,2015年（平成27年） 3月,
52,100110956923,中古マンション,54.68㎡,神奈川県横浜市磯子区杉田７丁目
専任,580万円,-,10.7万円,杉田大谷団地５号棟,4階,3ＤＫ
,-,,35.1万円,,
令和 3年 5月17日
,,
53,100111717019,中古マンション,60.00㎡,神奈川県横浜市磯子区杉田５丁目
"売主
オーナーチェンジ","1,500万円",-,25.0万円,ダイアパレス杉田第３,7階,4ＬＫ
,"16,920円",,82.7万円,京浜急行線　杉田,徒歩　8分
令和 3年 4月28日
,1991年（平成 3年） 2月,
54,100105981503,中古マンション,17.13㎡,神奈川県横浜市磯子区杉田４丁目
一般,510万円,一住,29.8万円,日神パレス杉田,2階,ワンルーム
,"6,320円",,98.5万円,京浜急行線　杉田,徒歩　5分
令和 3年 3月19日
,1988年（昭和63年） 8月,
55,100110545785,中古マンション,83.45㎡,神奈川県横浜市磯子区杉田２丁目
専任,"2,200万円",一低,26.4万円,ユーロハイツ杉田,1階,3ＬＤＫ
,"17,000円",,87.2万円,京浜急行線　杉田,徒歩　7分
令和 3年 3月12日
,1988年（昭和63年） 6月,
56,100109416531,中古マンション,75.95㎡,神奈川県横浜市磯子区杉田１丁目
専属,"4,930万円",商業,65.0万円,ヨコハマ・シーナリータワー,21階,3ＬＤＫ
,"16,000円",,214.6万円,京浜東北線　新杉田,徒歩　1分
令和 3年 3月 4日
,2004年（平成16年） 9月,
57,100109087946,中古マンション,63.31㎡,神奈川県横浜市磯子区杉田５丁目
専属,"2,280万円",一住,36.1万円,フェリズ新杉田,6階,3ＬＤＫ
,"13,300円",,119.1万円,根岸線　新杉田,徒歩　13分
令和 3年 2月 7日
,2005年（平成17年） 2月,
58,100107829516,中古マンション,60.66㎡,神奈川県横浜市磯子区杉田２丁目
専任,"2,730万円",一住,45.1万円,エクレール杉田,2階,2ＬＤＫ
,"13,900円",,148.8万円,京浜急行線　杉田,徒歩　1分
令和 3年 2月 8日
,1997年（平成 9年） 2月,
59,100105985452,中古マンション,96.18㎡,神奈川県横浜市磯子区杉田坪呑
専任,"1,800万円",-,18.8万円,磯子杉田台４－６号棟,5階,4ＬＤＫ
,-,,61.9万円,京浜急行線　杉田,徒歩　13分
令和 3年 1月27日
,1990年（平成 2年） 8月,
60,100105740563,中古マンション,75.79㎡,神奈川県横浜市磯子区杉田５丁目
専任,"2,650万円",一住,35.0万円,フェリズ新杉田,6階,3ＬＤＫ
,"15,920円",,115.6万円,京浜東北線　新杉田,徒歩　12分
令和 2年12月27日
,2005年（平成17年） 2月,
61,100105357194,中古マンション,78.12㎡,神奈川県横浜市磯子区杉田坪呑
専属,"1,680万円",一低,21.6万円,磯子杉田坪呑,2階,3ＬＤＫ
,"7,200円",,71.1万円,京浜急行線　杉田,徒歩　13分
令和 2年12月27日
,1989年（平成 1年） 8月,
62,100107748495,中古マンション,56.91㎡,神奈川県横浜市磯子区杉田７丁目
専任,860万円,二中,15.2万円,杉田大谷団地,5階,2ＬＤＫ
,"7,400円",,50.0万円,京浜急行線　杉田,徒歩　15分
令和 2年11月28日
,1973年（昭和48年） 3月,
63,100105582953,中古マンション,84.29㎡,神奈川県横浜市磯子区杉田３丁目
専任,"3,700万円",一低,43.9万円,サウステラス横浜杉田,2階,3ＬＤＫ
,"13,640円",,145.2万円,京浜急行線　杉田,徒歩　4分
令和 2年 9月30日
,2006年（平成18年）11月,
64,100106514488,中古マンション,64.26㎡,神奈川県横浜市磯子区杉田５丁目
"専属
オーナーチェンジ","1,689.5万円",一住,26.3万円,ラ・パカパカ２,2階,3ＬＤＫ
,"12,000円",,87.0万円,京浜急行線　杉田,徒歩　6分
令和 2年 8月26日
,1996年（平成 8年） 8月,
65,100106876499,中古マンション,60.66㎡,神奈川県横浜市磯子区杉田２丁目
専任,"2,580万円",一住,42.6万円,エクレール杉田,3階,2ＬＤＫ
,"13,900円",,140.7万円,京浜急行線　杉田,徒歩　1分
令和 2年 8月16日
,1997年（平成 9年） 2月,
66,100106480792,中古マンション,99.09㎡,神奈川県横浜市磯子区杉田坪呑
専属,"1,600万円",一低,16.2万円,磯子杉田台第１団地,6階,4ＬＤＫ
,"7,200円",,53.4万円,京浜急行線　杉田,徒歩　12分
令和 2年 8月 9日
,1989年（平成 1年） 8月,
67,100106125253,中古マンション,81.06㎡,神奈川県横浜市磯子区杉田６丁目
専属,"2,940万円",一低,36.3万円,サンクタス横浜南の丘,6階,3ＬＤＫ
,"10,300円",,119.9万円,京浜急行線　杉田,徒歩　11分
令和 2年 8月 8日
,2001年（平成13年）12月,
68,100105533227,中古マンション,54.68㎡,神奈川県横浜市磯子区杉田７丁目
専任,"1,260万円",二中,23.1万円,杉田大谷団地,2階,2ＬＤＫ
,"7,400円",,76.2万円,京浜急行線　杉田,徒歩　18分
令和 2年 7月25日
,1973年（昭和48年） 3月,
69,100106103927,中古マンション,50.37㎡,神奈川県横浜市磯子区杉田１丁目
専任,"2,400万円",一住,47.7万円,マイキャッスル杉田駅前,2階,2ＳＤＫ
,"13,920円",,157.6万円,京浜急行線　杉田,徒歩　3分
令和 2年 7月18日
,1992年（平成 4年） 9月,
70,100104429741,中古マンション,64.73㎡,神奈川県横浜市磯子区杉田１丁目
専任,"2,480万円",近商,38.4万円,マイキャッスル杉田,3階,3ＬＤＫ
,"15,540円",,126.7万円,京浜急行線　杉田,徒歩　3分
令和 2年 7月12日
,1996年（平成 8年）10月,
71,100103517032,中古マンション,72.06㎡,神奈川県横浜市磯子区杉田４丁目
専属,"2,780万円",一住,38.6万円,杉田南パークホームズ,3階,3ＬＤＫ
,"13,500円",,127.6万円,京浜急行線　杉田,徒歩　5分
令和 2年 7月11日
,1998年（平成10年） 3月,
72,100106228948,中古マンション,73.47㎡,神奈川県横浜市磯子区杉田５丁目
売主,"3,080万円",-,42.0万円,日神パレステージ光陽台,3階,3ＬＤＫ
,"13,600円",,138.6万円,京浜急行線　杉田,徒歩　8分
令和 2年 6月30日
,1998年（平成10年） 3月,
73,100103544079,中古マンション,76.02㎡,神奈川県横浜市磯子区杉田３丁目
専任,"3,580万円",一低,47.1万円,サウステラス横浜杉田エアリーコート,3階,3ＬＤＫ
,"12,440円",,155.7万円,京浜急行線　杉田,徒歩　4分
令和 2年 3月19日
,2006年（平成18年）11月,
74,100098165177,中古マンション,93.85㎡,神奈川県横浜市磯子区杉田坪呑
専属,"1,700万円",一低,18.2万円,磯子杉田台第１団地,2階,4ＬＤＫ
,"7,200円",,59.9万円,京浜急行線　杉田,徒歩　13分
令和 2年 1月25日
,1989年（平成 1年） 8月,
75,100102809891,中古マンション,82.99㎡,神奈川県横浜市磯子区杉田３丁目
専任,"3,980万円",一低,48.0万円,サウステラス横浜杉田　ブリーズコート,2階,3ＬＤＫ
,"12,855円",,158.6万円,京浜急行線　杉田,徒歩　5分
令和 1年12月21日
,2006年（平成18年）11月,
76,100101315475,中古マンション,75.97㎡,神奈川県横浜市磯子区杉田４丁目
専任,"2,950万円",一住,38.9万円,杉田南パーク・ホームズ,6階,3ＬＤＫ
,"14,200円",,128.4万円,京浜急行線　杉田,徒歩　5分
令和 1年11月30日
,1998年（平成10年） 3月,
77,100099034358,中古マンション,85.01㎡,神奈川県横浜市磯子区杉田坪呑
専属,"1,700万円",一低,20.0万円,磯子杉田台　４－５号棟,4階,3ＬＤＫ
,"6,700円",,66.2万円,京浜急行線　杉田,徒歩　13分
令和 1年 9月15日
,1990年（平成 2年） 8月,
78,100099846008,中古マンション,75.50㎡,神奈川県横浜市磯子区杉田３丁目
専任,"2,450万円",一低,32.5万円,ベルヴィル杉田　Ⅰ,2階,3ＬＤＫ
,"9,100円",,107.3万円,京浜急行線　杉田,徒歩　6分
令和 1年 9月 1日
,1988年（昭和63年） 3月,
79,100084922638,中古マンション,65.34㎡,神奈川県横浜市磯子区杉田４丁目
専任,"3,950万円",近商,60.5万円,クリオ新杉田,7階,3ＬＤＫ
,"17,970円",,199.9万円,根岸線　新杉田,徒歩　7分
令和 1年 7月28日
,2015年（平成27年） 3月,
80,100099470133,中古マンション,50.40㎡,神奈川県横浜市磯子区杉田１丁目
一般,"2,000万円",一住,39.7万円,マイキャッスル杉田駅前,2階,3ＤＫ
,"13,920円",,131.2万円,京浜急行線　杉田,徒歩　4分
令和 1年 7月20日
,1992年（平成 4年） 9月,
81,100098943997,中古マンション,56.91㎡,神奈川県横浜市磯子区杉田７丁目
専任,890万円,二中,15.7万円,杉田大谷団地１３号棟,2階,3ＬＤＫ
,"7,400円",,51.7万円,京浜急行線　杉田,徒歩　17分
令和 1年 7月 7日
,1973年（昭和48年） 3月,
82,100099241674,中古マンション,54.68㎡,神奈川県横浜市磯子区杉田７丁目
専任,500万円,二中,9.2万円,,5階,3ＤＫ
,-,,30.3万円,京浜急行線　杉田,徒歩　13分
令和 1年 6月23日
,1973年（昭和48年） 3月,
83,100098541764,中古マンション,59.29㎡,神奈川県横浜市磯子区杉田２丁目
専任,"1,400万円",一低,23.7万円,リベルテ磯子,3階,2ＬＤＫ
,"8,720円",,78.1万円,京浜急行線　杉田,徒歩　12分
令和 1年 6月16日
,1991年（平成 3年） 8月,
84,100096912237,中古マンション,63.78㎡,神奈川県横浜市磯子区杉田３丁目
一般,"2,980万円",近商,46.8万円,杉田三和プラザシティ,3階,3ＬＤＫ
,"14,670円",,154.5万円,京浜急行線　杉田,徒歩　3分
平成31年 4月12日
,1997年（平成 9年） 2月,
85,100096866913,中古マンション,64.13㎡,神奈川県横浜市磯子区杉田６丁目
専任,"2,100万円",-,32.8万円,サンクタス横浜南の丘,5階,2ＬＤＫ
,"8,100円",,108.3万円,京浜急行線　杉田,徒歩　11分
平成31年 3月 4日
,2001年（平成13年）12月,
86,100097514924,中古マンション,65.73㎡,神奈川県横浜市磯子区杉田１丁目
専属,"3,580万円",商業,54.5万円,ヨコハマ・シーナリータワー,13階,2ＬＤＫ
,"13,900円",,180.1万円,京浜東北線　新杉田,徒歩　1分
平成31年 2月27日
,2004年（平成16年） 9月,
87,100097019841,中古マンション,76.01㎡,神奈川県横浜市磯子区杉田１丁目
専属,"3,500万円",近商,46.1万円,プララ杉田,8階,3ＬＤＫ
,"21,440円",,152.3万円,京浜急行線　杉田,徒歩　1分
平成31年 2月23日
,1993年（平成 5年） 4月,
88,100095204604,中古マンション,81.17㎡,神奈川県横浜市磯子区杉田１丁目
専任,"5,350万円",商業,66.0万円,ヨコハマ・シーナリータワー,17階,3ＬＤＫ
,"17,100円",,217.9万円,根岸線　新杉田,徒歩　1分
平成31年 2月23日
,2004年（平成16年） 9月,
89,100093614801,中古マンション,98.86㎡,神奈川県横浜市磯子区杉田坪呑
専任,"1,900万円",準住,19.3万円,磯子杉田台３－２号棟,5階,4ＬＤＫ
,"7,200円",,63.6万円,京浜急行線　杉田,徒歩　13分
平成31年 2月10日
,1989年（平成 1年） 8月,
90,100096802261,中古マンション,63.07㎡,神奈川県横浜市磯子区杉田４丁目
専任,"3,480万円",近商,55.2万円,クリオ新杉田,5階,3ＬＤＫ
,"17,340円",,182.5万円,根岸線　新杉田,徒歩　7分
平成31年 2月 9日
,2015年（平成27年） 3月,
91,100096505426,中古マンション,16.00㎡,神奈川県横浜市磯子区杉田４丁目
専任,520万円,一住,32.5万円,日神パレス杉田Ａ棟,1階,1Ｋ
,"5,920円",,107.5万円,京浜急行線　杉田,徒歩　5分
平成31年 2月 9日
,1988年（昭和63年） 8月,
92,100096781845,中古マンション,92.00㎡,神奈川県横浜市磯子区杉田１丁目
専属,"5,570万円",商業,60.6万円,ヨコハマシーナリ―タワー,18階,4ＬＤＫ
,"19,400円",,200.2万円,根岸線　新杉田,徒歩　1分
平成31年 1月27日
,2004年（平成16年）10月,
93,100095082700,中古マンション,65.00㎡,神奈川県横浜市磯子区杉田５丁目
専任,"2,450万円",一住,37.7万円,日神パレステージ光陽台,8階,2ＳＬＤＫ
,"12,000円",,124.7万円,京浜急行線　杉田,徒歩　7分
平成31年 1月13日
,1998年（平成10年） 3月,
94,100094935143,中古マンション,76.01㎡,神奈川県横浜市磯子区杉田１丁目
専任,"3,760万円",近商,49.5万円,プララ杉田,9階,3ＬＤＫ
,"21,440円",,163.6万円,京浜急行線　杉田,徒歩　1分
平成31年 1月20日
,1993年（平成 5年） 4月,
95,100095931316,中古マンション,56.91㎡,神奈川県横浜市磯子区杉田７丁目
専属,510万円,一中,9.0万円,杉田大谷団地,4階,2ＬＤＫ
,"7,400円",,29.7万円,京浜急行線　杉田,徒歩　15分
平成31年 1月14日
,1973年（昭和48年） 3月,
96,100096643242,中古マンション,73.23㎡,神奈川県横浜市磯子区杉田３丁目
専任,"2,780万円",一住,38.0万円,ベルヴィル杉田Ⅰ,3階,3ＬＤＫ
,"8,800円",,125.5万円,京浜急行線　杉田,徒歩　6分
平成31年 1月14日
,1988年（昭和63年） 3月,
97,100095185893,中古マンション,82.80㎡,神奈川県横浜市磯子区杉田３丁目
専任,"3,540万円",一低,42.8万円,サウステラス横浜杉田デライトコート,2階,3ＬＤＫ
,"12,755円",,141.4万円,京浜急行線　杉田,徒歩　4分
平成31年 1月13日
,2006年（平成18年）11月,
